"flat";"down";"up"
"600";0.25;0.446428571428571;0.303571428571429
"6257";0.444444444444444;0.222222222222222;0.333333333333333
"63";0.428571428571429;0.285714285714286;0.285714285714286
"645.14";0.375;0.25;0.375
"665";0.444444444444444;0.222222222222222;0.333333333333333
"673";0.428571428571429;0.285714285714286;0.285714285714286
"69.52";0.4;0.4;0.2
"697.45";0.428571428571429;0.285714285714286;0.285714285714286
"699";0.428571428571429;0.285714285714286;0.285714285714286
"7.5";0.4;0.3;0.3
"700";0.357142857142857;0.142857142857143;0.5
"72.41";0.6;0.2;0.2
"736";0.428571428571429;0.285714285714286;0.285714285714286
"74.23";0.6;0.2;0.2
"761.31";0.5;0.25;0.25
"775";0.5;0.25;0.25
"794";0.428571428571429;0.285714285714286;0.285714285714286
"800";0.136363636363636;0.545454545454545;0.318181818181818
"8044";0.428571428571429;0.285714285714286;0.285714285714286
"8056";0.5;0.25;0.25
"8150";0.5;0.25;0.25
"820";0.3;0.2;0.5
"822";0.5;0.25;0.25
"823.81";0.428571428571429;0.285714285714286;0.285714285714286
"843";0.428571428571429;0.285714285714286;0.285714285714286
"8445";0.375;0.25;0.375
"8457.4";0.428571428571429;0.285714285714286;0.285714285714286
"8544";0.428571428571429;0.285714285714286;0.285714285714286
"860";0.428571428571429;0.285714285714286;0.285714285714286
"9.4";0.428571428571429;0.285714285714286;0.285714285714286
"9.53";0.5;0.25;0.25
"90";0.428571428571429;0.285714285714286;0.285714285714286
"9056";0.428571428571429;0.285714285714286;0.285714285714286
"91";0.5;0.25;0.25
"91.06";0.428571428571429;0.285714285714286;0.285714285714286
"92";0.571428571428571;0.142857142857143;0.285714285714286
"9450";0.5;0.25;0.25
"9500";0.24;0.52;0.24
"9503";0.5;0.25;0.25
"9529.51";0.5;0.25;0.25
"9533.38";0.5;0.25;0.25
"9596.24";0.5;0.25;0.25
"9673";0.428571428571429;0.285714285714286;0.285714285714286
"9683";0.428571428571429;0.285714285714286;0.285714285714286
"973";0.5;0.25;0.25
"9973.12";0.5;0.25;0.25
"9998.08";0.5;0.25;0.25
"A10";0.25;0.5;0.25
"A8";0.428571428571429;0.142857142857143;0.428571428571429
"ADR";0.173913043478261;0.391304347826087;0.434782608695652
"Air";0.5;0.25;0.25
"Alcoa";0.5;0.25;0.25
"Altera";0.5;0.166666666666667;0.333333333333333
"Apple";0.304347826086957;0.391304347826087;0.304347826086957
"BBR";0.428571428571429;0.285714285714286;0.285714285714286
"Bill";0.444444444444444;0.222222222222222;0.333333333333333
"CEA";0.428571428571429;0.285714285714286;0.285714285714286
"ECB";0.19047619047619;0.476190476190476;0.333333333333333
"Fab15";0.5;0.25;0.25
"FDX";0.428571428571429;0.285714285714286;0.285714285714286
"Fed";0.290322580645161;0.387096774193548;0.32258064516129
"FOMC";0.333333333333333;0.333333333333333;0.333333333333333
"Forbes";0.428571428571429;0.285714285714286;0.285714285714286
"FPGA";0.4;0.4;0.2
"Genentech";0.5;0.25;0.25
"GF";0.428571428571429;0.285714285714286;0.285714285714286
"Gilead";0.5;0.25;0.25
"Global";0.428571428571429;0.285714285714286;0.285714285714286
"Holdings";0.428571428571429;0.285714285714286;0.285714285714286
"IC";0.164179104477612;0.492537313432836;0.343283582089552
"index";0.428571428571429;0.285714285714286;0.285714285714286
"iPad";0.4;0.3;0.3
"iPhone";0.147058823529412;0.294117647058824;0.558823529411765
"JD";0.428571428571429;0.285714285714286;0.285714285714286
"K2K";0.5;0.25;0.25
"KD";0.3;0.3;0.4
"Kos";0.5;0.25;0.25
"LED";0.272727272727273;0.545454545454545;0.181818181818182
"LTE";0.5;0.25;0.25
"Macbook";0.5;0.25;0.25
"Materials";0.444444444444444;0.333333333333333;0.222222222222222
"MSCI";0.184210526315789;0.394736842105263;0.421052631578947
"MWC";0.533333333333333;0.133333333333333;0.333333333333333
"NXP";0.428571428571429;0.285714285714286;0.285714285714286
"patient";0.428571428571429;0.285714285714286;0.285714285714286
"PCB";0.333333333333333;0.333333333333333;0.333333333333333
"QE";0.129032258064516;0.387096774193548;0.483870967741935
"QE3";0.5;0.25;0.25
"S6";0.4;0.2;0.4
"semi";0.375;0.25;0.375
"SEMI";0.181818181818182;0.181818181818182;0.636363636363636
"SMIC";0.428571428571429;0.285714285714286;0.285714285714286
"Snapdragon";0.272727272727273;0.272727272727273;0.454545454545455
"SoFIA";0.6;0.2;0.2
"TWSESCI";0.375;0.25;0.375
"Type";0.3;0.4;0.3
"United";0.428571428571429;0.285714285714286;0.285714285714286
"USB";0.333333333333333;0.444444444444444;0.222222222222222
"Watch";0.428571428571429;0.285714285714286;0.285714285714286
"阿爾特";0.5;0.25;0.25
"八點";0.428571428571429;0.285714285714286;0.285714285714286
"八三";0.428571428571429;0.285714285714286;0.285714285714286
"巴克萊";0.230769230769231;0.461538461538462;0.307692307692308
"半邊天";0.5;0.25;0.25
"半導體";0.173076923076923;0.394230769230769;0.432692307692308
"半導體技術";0.428571428571429;0.285714285714286;0.285714285714286
"半導體業";0.25;0.375;0.375
"保戶";0.428571428571429;0.285714285714286;0.285714285714286
"保留盈餘";0.5;0.25;0.25
"保衛戰";0.266666666666667;0.466666666666667;0.266666666666667
"報酬";0.375;0.25;0.375
"報告";0.0612244897959184;0.448979591836735;0.489795918367347
"北美";0.307692307692308;0.307692307692308;0.384615384615385
"備受";0.444444444444444;0.333333333333333;0.222222222222222
"備受矚目";0.5;0.25;0.25
"備太多";0.428571428571429;0.285714285714286;0.285714285714286
"備戰";0.5;0.25;0.25
"本波";0.5;0.25;0.25
"本業";0.428571428571429;0.285714285714286;0.285714285714286
"辨識";0.363636363636364;0.272727272727273;0.363636363636364
"表現";0.0952380952380952;0.452380952380952;0.452380952380952
"併購";0.363636363636364;0.272727272727273;0.363636363636364
"並未";0.307692307692308;0.461538461538462;0.230769230769231
"並無太大";0.5;0.25;0.25
"並以";0.214285714285714;0.214285714285714;0.571428571428571
"不變";0.15;0.35;0.5
"不錯";0.363636363636364;0.363636363636364;0.272727272727273
"不淡";0.15;0.4;0.45
"不夠";0.5;0.25;0.25
"不過";0.168067226890756;0.336134453781513;0.495798319327731
"不會";0.15;0.4;0.45
"不落人後";0.333333333333333;0.444444444444444;0.222222222222222
"不輕";0.444444444444444;0.222222222222222;0.333333333333333
"不確定性";0.454545454545455;0.181818181818182;0.363636363636364
"不容樂觀";0.5;0.25;0.25
"不少台";0.5;0.25;0.25
"不約而同";0.444444444444444;0.222222222222222;0.333333333333333
"不漲";0.333333333333333;0.222222222222222;0.444444444444444
"財產";0.428571428571429;0.285714285714286;0.285714285714286
"參與";0.130434782608696;0.565217391304348;0.304347826086957
"操盤";0.428571428571429;0.285714285714286;0.285714285714286
"策略性";0.5;0.25;0.25
"曾銘宗";0.4;0.2;0.4
"產業";0.193548387096774;0.387096774193548;0.419354838709677
"常會";0.428571428571429;0.285714285714286;0.285714285714286
"廠商";0.19047619047619;0.428571428571429;0.380952380952381
"撐住";0.5;0.25;0.25
"成長";0.111111111111111;0.4;0.488888888888889
"成交量";0.173913043478261;0.391304347826087;0.434782608695652
"成康";0.444444444444444;0.222222222222222;0.333333333333333
"成為";0.194444444444444;0.388888888888889;0.416666666666667
