"flat";"down";"up"
"9.22";2;3;2
"9.5";2;3;2
"9.7";2;4;2
"9.84";2;4;2
"900";2;9;9
"9000";2;3;3
"9049";2;3;2
"9171";2;4;2
"9187";2;4;2
"9188";2;4;2
"919";2;4;2
"92.22";2;3;2
"9200";2;6;10
"9215.58";2;4;2
"9230";2;4;2
"9233";2;4;2
"9238";2;6;2
"9244";2;3;2
"9268";2;4;2
"930";2;4;4
"9300";2;10;5
"9308";2;3;2
"9319";2;4;2
"9325";2;3;2
"9338";2;8;2
"9340.13";2;3;2
"9348";2;4;2
"9368.43";2;3;2
"9369.51";2;4;2
"9386";2;4;2
"939";2;3;2
"9400";2;7;12
"9426";2;4;2
"943";2;3;2
"9436";2;4;2
"9454";2;4;2
"9456.18";2;4;2
"9466";2;4;2
"9472";2;4;2
"95";2;3;2
"954.52";2;3;2
"9570";2;4;2
"9571.97";2;4;2
"9574";2;4;2
"9598";2;4;2
"96";2;3;3
"9600";2;16;14
"9610";2;4;2
"9610.83";2;4;2
"9617.04";2;4;2
"9618";2;4;2
"9619";2;4;2
"9626";2;6;2
"9627";2;4;2
"9637";2;3;2
"9645.77";2;4;2
"9646.07";2;4;2
"9650";2;4;2
"9700";2;7;5
"971.35";2;4;2
"97159";2;4;2
"9730";2;4;2
"9758.0";2;4;2
"9759.96";2;4;2
"977.56";2;4;2
"9772";2;4;2
"978.25";2;4;2
"98";2;4;3
"9800";2;4;3
"983";2;3;2
"9859";2;4;4
"9900";2;4;2
"9904";2;3;2
"9916";2;4;2
"A72";2;6;2
"A9";2;14;16
"Adoption";2;4;2
"AFE";2;4;2
"All";2;4;2
"Allegro";2;3;2
"Amazon";2;3;2
"AMD";2;3;3
"And";2;4;2
"Applied";2;3;2
"ARM";2;6;2
"Armour";2;3;2
"ASIC";2;6;2
"ASML";2;3;4
"AV";2;3;2
"A股";2;4;4
"Behavior";2;4;2
"Beyond";2;4;2
"Big";2;4;2
"C1";2;4;2
"Cadence";2;4;2
"Call";2;10;6
"Carbon";2;3;2
"CCFA5";2;4;2
"CES";2;8;2
"Chipgate";2;3;2
"Conference";2;4;2
"CSR";2;3;6
"DAT";2;4;2
"Data";2;4;2
"Design";2;5;2
"DisplaySearch";2;3;2
"DJSI";2;3;2
"Dow";2;3;2
"DRAM";2;3;9
"E3";2;3;2
"eNVM";2;4;2
"EPS";2;9;7
"ETF";2;4;7
"EV";2;3;2
"FED";2;3;4
"FF";2;3;2
"FinFE";2;4;2
"Finfet";2;4;2
"FinFET";2;4;3
"FU";2;3;2
"Gartner";2;6;4
"GDP";2;8;7
"Google";2;4;2
"Group";2;3;2
"IEEE";2;5;2
"IEK";2;6;2
"IHS";2;4;2
"InFO";2;5;3
"Insights";2;6;2
"Intel";2;4;2
"Internal";2;3;2
"IoE";2;3;2
"IP";2;8;2
"iPhone6s";2;3;3
"ISP";2;4;2
"ITA";2;3;2
"JP";2;3;2
"jpp";2;3;2
"Leader";2;3;2
"LP";2;3;2
"Mall";2;3;2
"Mark";2;4;3
"Mart";2;3;2
"MCU";2;4;6
"Meal";2;3;2
"Medicine";2;3;2
"MIC";2;4;2
"Microsoft";2;3;2
"Mobius";2;4;2
"Morgan";2;3;2
"Movie";2;3;2
"ODM";2;3;2
"OEM";2;3;2
"OI";2;10;8
"OmniVision";2;5;2
"One";2;3;2
"Pay";2;4;2
"PC";2;9;7
"Plus";2;5;5
"PMI";2;6;5
"PMOLED";2;3;2
"Prices";2;3;2
"Put";2;10;8
"PV";2;3;2
"RSI";2;3;2
"SCARA";2;4;2
"SCM";2;3;2
"SEMICON";2;3;3
"SiP";2;3;2
"Synopsys";2;4;2
"Systems";2;3;2
"Taiwan";2;5;4
"Technology";2;4;2
"Ti";2;4;4
"TI";2;4;4
"TPK";2;3;7
"TrendForce";2;3;4
"TSIA";2;4;2
"TV";2;5;3
"UA";2;3;2
"USB3";2;6;2
"Vi";2;4;2
"VisERA";2;3;2
"VLSI";2;4;2
"Wal";2;3;2
"Win";2;3;2
"Windows";2;4;4
"WSTS";2;4;2
"Xbox";2;3;2
"Xilinx";2;4;2
"安謀";2;4;2
"澳門";2;3;2
"八個";2;3;2
"八降";2;3;2
"巴隆";2;6;5
"百點";2;3;4
"半年報";2;4;2
"半年線";2;7;10
"伴隨";2;4;4
"幫助";2;3;2
"保費";2;3;6
"保護";2;5;2
"保守";2;5;2
"保證金";2;3;2
"寶座";2;4;3
"報導";2;7;4
"報復性";2;4;3
"報佳音";2;3;4
"爆發";2;3;2
"悲觀";2;3;2
"北區";2;4;2
"本屆";2;3;2
"比爾斯";2;4;3
"比台";2;3;2
"比特";2;4;2
"避險";2;3;2
"變化";2;6;2
"變數";2;4;2
"標的";2;5;6
"並不";2;4;3
"並不弱";2;4;2
"並對";2;4;2
"並非";2;5;2
"並且";2;3;2
"並無";2;3;4
"並已";2;4;2
"波動";2;8;5
"補充";2;3;3
"不敵";2;6;2
"不斷";2;9;9
"不及";2;4;2
"不佳";2;4;2
"不佳台";2;4;2
"不佳下";2;4;2
"不僅";2;11;15
"不景氣";2;3;2
"不領情";2;3;2
"不論";2;5;3
"不強";2;4;2
"不太有";2;4;2
"不同之處";2;3;2
"不旺";2;3;6
"不鏽鋼";2;3;2
"不虞匱乏";2;3;2
"不著";2;4;2
"不墜";2;4;5
"布空";2;4;2
"布雷克";2;3;2
"部位";2;3;3
"財報";2;7;5
"財測";2;3;4
"財務";2;3;2
"採購";2;4;2
"採取";2;3;2
"採用";2;4;2
"參半";2;3;3
"參考";2;4;5
"慘跌";2;4;2
"操作";2;3;3
"側目";2;3;2
"測試";2;8;2
"曾銘宗為";2;4;2
"差額";2;3;2
"差異";2;3;2
"差轉";2;6;2
"產能";2;4;2
"產品";2;4;4
"產生";2;3;2
"產值";2;4;2
"長榮";2;4;2
"廠家";2;4;2
"廠致新";2;3;2
"暢旺";2;4;2
"超過";2;6;4
"超前";2;4;2
"超群";2;4;2
"超越";2;4;2
"沉積";2;4;2
"陳昱宏";2;4;5
"塵埃落定";2;3;2
"成分股";2;3;2
"成績";2;5;4
"成交";2;5;5
"成交額";2;4;2
"成數";2;3;2
"承壓";2;4;3
"持股";2;3;3
"充滿信心";2;6;2
"衝擊";2;3;2
"籌資";2;3;2
"出版";2;4;2
"出國";2;3;2
"出貨量";2;3;2
"出盡";2;4;6
"出口業";2;4;2
"出期招";2;3;2
"出書";2;4;2
"出脫";2;6;2
"初見";2;3;2
"處理器";2;5;4
"傳來";2;3;2
"傳統";2;8;3
"創近";2;4;2
"創投";2;4;2
"創證";2;3;2
"次世代";2;4;3
"從豪威";2;3;2
"促進";2;3;2
"促熱";2;3;2
"促銷";2;3;2
"存貨";2;3;2
"挫創";2;4;2
"打頭陣";2;4;2
"大單";2;5;4
"大跌";2;6;2
"大哥大";2;5;2
"大舉";2;6;8
"大軍";2;4;2
"大老";2;3;2
"大類";2;5;4
"大買";2;4;2
"大賣";2;3;2
"大升";2;4;4
"大體";2;3;2
"大中華區";2;4;2
"帶領";2;4;6
"單季";2;6;5
"單降";2;4;2
"單留";2;3;2
"單日";2;3;5
"單時";2;3;2
"單未";2;3;2
"單轉";2;4;4
"擔心";2;3;2
"但逢";2;4;2
"但港滬";2;4;2
"但台";2;9;6
"但須";2;4;2
"淡季";2;5;2
"導入";2;3;4
"到來";2;3;2
"到昨";2;4;2
"德盛";2;3;2
"等級";2;3;2
"低潮";2;3;2
"低檔";2;7;4
"低價";2;4;3
"低接";2;3;3
"低買高賣";2;4;2
"低盤";2;6;2
"敵聯";2;4;2
"地化";2;4;2
"地澆上";2;3;2
"第九天";2;3;2
"第三本";2;4;2
"第四季";2;4;6
"第一屆";2;3;2
"點間";2;4;2
"店頭";2;4;4
"電對";2;3;2
"電法";2;3;2
"電將";2;3;2
"電視";2;3;2
"電信";2;4;2
"電子展";2;4;2
"調查";2;6;2
"調高";2;3;2
"調升";2;3;2
"調整";2;3;5
"跌幅";2;13;3
"跌破";2;7;3
"跌勢";2;3;2
"定調";2;3;2
"董事會";2;3;2
"凍結資金";2;4;2
"動力";2;4;4
"棟樑";2;3;2
"獨弱";2;3;2
"短空";2;4;2
"短線";2;4;5
"堆疊";2;4;2
"對策";2;3;3
"對大立光";2;3;2
"對抗";2;4;3
"對內";2;3;2
"對證";2;3;2
"多持";2;3;2
"多處";2;3;2
"多達";2;4;2
"多點";2;5;4
"多家";2;4;3
"多空";2;9;16
"多空紛";2;3;3
"多項";2;3;2
"多於";2;4;4
"二極體";2;5;2
"二周";2;3;2
"發展";2;3;3
"繁城";2;3;2
"反彈力";2;3;3
"反觀";2;4;3
"反撲";2;3;3
"反壓";2;4;3
"反以";2;3;2
"方略";2;3;2
"非農";2;3;2
"分層";2;3;2
"分鐘";2;8;2
"份額";2;4;4
"奮力";2;4;2
"封測";2;4;8
"封測廠";2;5;5
"封裝";2;8;9
"副董事長";2;3;3
"副總";2;6;10
"副總裁";2;3;2
"副總經理";2;3;2
"富邦金";2;4;2
"富蘭克林";2;5;2
"感恩節";2;3;2
"剛創";2;4;2
"鋼構";2;3;2
"港建";2;4;2
"高檔";2;6;2
"高價股";2;4;4
"高科技";2;3;2
"高且";2;3;2
"高通";2;3;9
"各國";2;9;4
"各種";2;3;2
"個別";2;4;4
"個人電腦";2;5;2
"個位數";2;3;2
"個資";2;3;2
"跟進";2;3;2
"更將";2;4;2
"工廠";2;3;3
"工研院";2;6;2
"工業";2;7;4
"公會";2;3;2
"公開";2;4;3
"公司";2;6;5
"公債";2;3;3
"功虧一簣";2;3;2
"共計";2;6;3
"共識";2;4;2
"供不應求";2;3;2
"供給";2;4;2
"供應器";2;4;2
"供應商";2;3;4
"溝通";2;4;2
"估計";2;4;4
"股東";2;6;2
"股利";2;3;9
"股權";2;4;2
"觀察";2;3;2
"觀望";2;3;2
"冠軍";2;4;4
"光寶";2;3;2
"光電";2;11;6
"光法";2;3;4
"光及";2;3;3
"光急";2;3;2
"光今";2;3;2
"光盤";2;3;2
"光以";2;5;2
"光則";2;3;2
"光罩";2;3;2
"國華";2;3;2
"國際化";2;4;2
"國際貨幣基金";2;4;2
"國內外";2;8;6
"國慶";2;3;2
"國外";2;5;2
"國研院";2;4;2
"過熱";2;3;3
"喊話";2;4;5
"漢微科";2;4;11
"行情";2;4;2
"豪威";2;3;2
"好壞";2;4;2
"好轉";2;5;2
"合併案";2;3;2
"何麗梅昨";2;3;2
"和超微";2;3;2
"和緩";2;4;2
"和碩";2;9;6
"宏達";2;3;5
"宏碁";2;4;4
"後頭";2;4;2
"候選人";2;3;2
"護盤";2;3;4
"華航";2;4;2
"壞消息";2;4;4
"環境";2;3;4
"環球";2;4;2
"恢復";2;3;2
"揮發性";2;4;2
"回補台";2;4;2
"回挫";2;3;2
"回攻";2;3;2
"回流";2;3;2
"回神";2;5;6
"回頭";2;4;2
"回溫";2;5;8
"匯出";2;3;6
"匯集";2;6;2
"匯損";2;4;2
"會褐皮";2;4;2
"會前";2;4;2
"活潑";2;4;2
"或許";2;4;2
"獲獎";2;3;2
"基準日";2;3;2
"機構";2;4;2
"機器人";2;4;2
"及帆";2;3;2
"及股";2;3;2
"及海思";2;3;2
"及盟";2;4;2
"及物";2;3;4
"即攻";2;4;2
"即陷";2;4;2
"急跌";2;4;2
"急拉";2;3;2
"急如";2;3;2
"急殺";2;3;2
"藉由";2;5;4
"幾乎";2;3;4
"幾家愁";2;4;2
"幾家歡樂";2;4;2
"季報";2;3;2
"季後台";2;4;2
"季減";2;4;2
"季應";2;4;2
"紀錄";2;4;2
"績效";2;3;3
"加持";2;7;19
"加強";2;4;2
"加權";2;4;5
"佳及";2;3;2
"佳績";2;7;4
"家電";2;3;2
"架構";2;6;2
"價俱齊";2;4;2
"價內";2;4;6
"價平";2;8;4
"價外";2;8;4
"價值";2;5;6
"堅強";2;4;2
"減少";2;3;5
"建案";2;4;2
"建設";2;4;2
"建議";2;13;11
"健保";2;3;3
"將成";2;3;2
"將對";2;3;4
"將會";2;3;2
"將季增";2;3;2
"將視";2;3;2
"降價";2;3;2
"降稅";2;3;2
"交法";2;3;2
"交易";2;4;3
"交戰";2;3;4
"接單";2;3;4
"接手";2;3;2
"揭露";2;3;2
"介面";2;4;2
"介於";2;6;4
"屆時";2;3;2
"借券";2;4;2
"今逢";2;4;2
"今開";2;3;6
"今年以來";2;6;3
"今盤";2;4;4
"今審";2;3;2
"今收";2;11;4
"今亞股";2;4;2
"今以";2;3;2
"僅次於";2;3;2
"僅金";2;4;2
"僅能";2;3;2
"僅日股";2;3;2
"僅是";2;3;2
"僅應";2;3;2
"僅有";2;4;3
"儘管";2;9;17
"勁揚";2;5;12
"進場";2;3;6
"進入";2;6;3
"京鼎";2;4;2
"晶圓廠";2;3;2
"經濟部";2;3;2
"經院";2;4;2
"精材";2;8;11
"淨空";2;4;2
"九檔";2;4;2
"久違";2;3;2
"就告";2;3;2
"就業人口";2;3;2
"舉行";2;3;2
"具備";2;3;6
"俱樂部";2;4;6
"均令";2;3;2
"均線";2;13;12
"君悅";2;3;4
"卡關";2;3;2
"開高";2;5;7
"看法";2;3;4
"科技";2;3;9
"可逢";2;3;4
"可見";2;3;2
"可替";2;3;2
"可由弱";2;3;2
"客戶端";2;5;2
"空單";2;4;2
"空方";2;3;2
"空間";2;4;2
"恐僅";2;3;2
"控股";2;4;2
"控股公司";2;3;2
"口數";2;6;3
"匱乏";2;3;2
"擴產";2;3;2
"擴大";2;8;3
"拉長";2;4;2
"來回";2;4;4
"來台";2;4;4
"來襲";2;4;4
"勞動部";2;3;4
"了結";2;6;6
"累積";2;3;2
"累計";2;4;2
"類股";2;7;2
"冷靜";2;3;2
"李宗霖";2;3;5
"力拱台";2;4;2
"力挺";2;3;4
"立委";2;3;4
"利多";2;3;4
"利潤";2;4;2
"歷經";2;4;2
"歷史";2;7;8
"連續";2;4;4
"聯昌";2;3;2
"聯發";2;4;3
"兩岸";2;5;6
"兩岸三地";2;4;2
"兩成";2;4;6
"兩檔";2;3;6
"兩個";2;5;5
"兩季";2;3;2
"兩家";2;5;7
"兩款";2;3;2
"兩日";2;7;13
"兩位數";2;3;2
"兩者";2;4;2
"亮燈";2;4;4
"亮點";2;4;2
"亮麗";2;13;10
"量縮";2;3;2
"列印";2;4;2
"劣於";2;4;4
"零組件";2;3;2
"領先";2;3;2
"留意";2;4;2
"劉德音";2;4;6
"輪動";2;4;2
"論壇";2;5;5
"落實";2;4;2
"呂智穎";2;3;2
"旅仲";2;4;2
"履約";2;12;8
"買超";2;8;9
"買盤";2;4;4
"茂迪";2;3;2
"美光";2;3;2
"美元";2;3;2
"門檻";2;3;2
"盟立";2;5;2
"瀰漫";2;3;2
"秘密";2;3;2
"面板";2;3;2
"面臨";2;3;2
"民眾";2;4;4
"明天";2;5;2
"明顯";2;7;2
"摩根";2;4;4
"目標價";2;6;4
"南韓";2;5;5
"內含";2;3;2
"內建雙";2;4;2
"內容";2;6;4
"內外資";2;3;2
"年報";2;4;6
"年前";2;4;2
"年線";2;4;4
"年營";2;4;2
"年增";2;4;6
"年增率";2;5;10
"歐台";2;4;3
"盤前";2;4;2
"盤勢";2;5;2
"盤中";2;17;21
"拋股";2;3;2
"拋在";2;4;2
"偏多下";2;4;2
"偏空";2;8;6
"偏弱";2;7;5
"片門";2;3;2
"平和";2;4;2
"平穩";2;4;2
"評等";2;3;3
"期貨";2;17;23
"期交所";2;3;2
"期收";2;5;6
"期於";2;3;2
"期指";2;3;4
"其後";2;7;6
"企圖心";2;3;2
"企業法";2;3;2
"企業界";2;3;2
"氣氛";2;3;2
"千口";2;4;2
"千禧年";2;3;2
"千億";2;5;5
"千億元";2;6;8
"前進";2;4;2
"前驚見";2;3;2
"前兩天";2;4;2
"前三大";2;3;2
"前須";2;3;2
"前一晚";2;6;2
"嵌入式";2;4;2
"強大";2;3;2
"強勁";2;5;12
"強力";2;3;5
"強弱";2;3;4
"強勢股";2;3;2
"且量價";2;4;2
"侵蝕";2;3;2
"青睞";2;4;4
"清潔用品";2;3;2
"傾巢而出";2;3;2
"情緒";2;3;2
"區分";2;4;2
"區後的";2;3;2
"趨勢";2;4;2
"去年";2;4;6
"去年同期";2;4;4
"全開";2;3;3
"全面落實";2;3;2
"全球定位系統";2;3;2
"全體";2;5;3
"全曜";2;3;2
"權益";2;4;2
"權證";2;36;17
"券資";2;3;2
"缺電";2;3;2
"缺口";2;3;2
"確立";2;4;2
"熱鍋";2;3;2
"人民幣";2;9;5
"人氣";2;7;9
"人氣指標";2;4;2
"人員";2;3;2
"仁寶";2;4;2
"任務";2;4;2
"認購";2;6;2
"認售";2;3;3
"認為";2;4;7
"仍待";2;4;2
"仍會";2;4;2
"仍佳";2;3;2
"仍將";2;4;3
"仍強";2;4;2
"仍熱";2;3;2
"仍顯";2;3;2
"日股";2;4;2
"日起";2;3;4
"日前";2;3;2
"日系";2;3;2
"如弘塑";2;3;2
"如可成";2;4;3
"如日";2;3;2
"如台";2;4;2
"如願";2;3;2
"如中磊";2;3;2
"瑞銀";2;5;2
"弱勢";2;9;5
"賽靈思";2;4;2
"三檔";2;4;4
"三分鐘";2;4;2
"三個";2;5;8
"三項";2;6;2
"三星電子";2;6;6
"三雄";2;4;2
"三至";2;4;4
"散戶";2;4;4
"殺盤";2;3;2
"煞車";2;3;2
"商是";2;4;2
"商台驊";2;4;2
"上並";2;3;2
"上風";2;4;2
"上攻";2;4;2
"上盒";2;3;3
"上揚";2;4;15
"上周五";2;8;7
"少華";2;4;2
"少數";2;3;4
"社會";2;4;5
"設置";2;3;2
"申購";2;4;2
"什麼";2;4;2
"沈重";2;5;2
"升回";2;4;2
"升級";2;3;2
"升評";2;3;3
"生效日";2;3;2
"剩聯";2;4;2
"勝率";2;4;4
"失而復得";2;4;2
"失靈";2;5;2
"失守";2;4;2
"施振榮";2;4;2
"時而";2;3;2
"時間";2;4;2
"實質";2;4;2
"使合";2;3;2
"使具";2;3;2
"使力";2;3;2
"世芯";2;4;2
"市調";2;4;3
"似已";2;3;2
"事實上";2;3;5
"勢必";2;5;4
"勢力";2;4;2
"收黑";2;4;2
"首波";2;4;2
"受訪";2;3;2
"受美股";2;6;4
"受評";2;3;2
"受權";2;5;2
"受日";2;3;2
"受壓";2;4;2
"受阻於";2;4;2
"壽險";2;6;2
"殊榮";2;3;2
"數多";2;4;2
"數據";2;8;7
"稅後";2;10;5
"稅收";2;4;2
"思維";2;4;2
"四寶";2;4;4
"四寶等";2;3;2
"四聯";2;3;2
"塑膠";2;4;2
"隨即";2;3;2
"所稅";2;4;2
"他動";2;3;2
"他花";2;4;2
"她則";2;3;2
"台達電";2;5;2
"台德";2;3;2
"台肥";2;4;2
"台郡";2;4;2
"台塑";2;10;6
"台灣雙";2;3;2
"台灣台";2;4;2
"台灣須";2;4;2
"台系";2;3;4
"台新";2;3;6
"台指";2;4;9
"太子";2;4;2
"態度";2;5;2
"談判";2;3;2
"坦伯頓";2;4;2
"提案";2;3;2
"提升";2;3;2
"提問";2;3;2
"提早到";2;3;2
"天在";2;4;2
"停損";2;3;2
"同屬";2;4;3
"同樣";2;4;7
"同在今";2;3;2
"統一";2;4;3
"投信";2;4;2
"徒增";2;3;2
"團隊";2;9;2
"推高";2;4;2
"推升";2;3;4
"外電報導";2;5;2
"外銷";2;5;3
"外洩";2;3;3
"完畢";2;3;4
"萬份";2;3;2
"萬人";2;3;2
"萬餘口";2;4;4
"萬支";2;4;2
"王伯元";2;4;2
"王台";2;7;10
"網通";2;4;2
"威脅";2;3;2
"微軟";2;5;2
"微星";2;3;4
"唯泰";2;3;2
"惟僅";2;4;2
"惟量";2;4;2
"維持";2;4;4
"委員會";2;3;2
"位階";2;3;2
"問鼎";2;4;2
"我國";2;3;2
"無法";2;4;2
"五檔";2;4;2
"午盤";2;6;15
"矽格";2;3;2
"矽品";2;5;2
"系統";2;4;2
"匣及";2;3;2
"下跌";2;5;2
"下禁空";2;3;2
"下開";2;3;2
"下午";2;3;2
"下壓";2;4;2
"下一代";2;3;2
"先進";2;10;13
"現有";2;4;2
"相對";2;8;7
"向上";2;3;4
"消費";2;4;3
"小跌";2;4;2
"小股民";2;3;2
"小回";2;4;2
"協定";2;3;2
"協議";2;4;2
"鞋店";2;3;2
"鞋子";2;3;2
"謝明";2;4;2
"心態";2;4;3
"新低";2;4;3
"新年";2;4;2
"新書";2;4;2
"新台幣";2;3;3
"薪酬";2;3;2
"信貸";2;3;2
"信驊";2;3;2
"信心";2;3;3
"刑事責任";2;3;2
"型電腦";2;3;2
"型態";2;3;2
"修正";2;5;4
"虛擬實境";2;4;2
"喧騰";2;4;2
"削減";2;3;2
"學者";2;3;2
"尋寶";2;4;2
"壓低";2;9;4
"壓境";2;4;2
"壓制";2;3;2
"亞幣";2;4;2
"亞股昨";2;4;2
"亞馬遜";2;3;2
"亞系";2;6;6
"軋空";2;3;2
"延後";2;4;3
"延續";2;5;2
"研討會";2;4;2
"嚴防";2;3;2
"嚴格";2;4;2
"藥品";2;3;3
"也就是說";2;3;2
"也屬";2;4;2
"也須";2;4;2
"業績";2;7;4
"業者";2;4;4
"一步之遙";2;3;2
"一檔";2;3;4
"一點";2;3;2
"一度";2;9;14
"一個月";2;3;2
"一劑";2;3;2
"一口氣";2;5;13
"一連";2;3;2
"一掃";2;4;12
"一雙";2;3;2
"一枝獨秀";2;3;2
"依據";2;3;2
"依序";2;3;3
"醫療";2;3;2
"宜價量";2;4;2
"儀科";2;4;2
"已跌";2;4;2
"已近";2;4;2
"以創";2;4;2
"以晶圓";2;4;2
"以聯";2;3;2
"以偏";2;3;2
"以平";2;7;2
"以生技";2;4;4
"以台";2;3;3
"以台幣";2;4;2
"以拖待變";2;3;2
"以小";2;6;2
"以小紅";2;3;2
"亦可";2;4;2
"意願";2;5;2
"億急";2;4;2
"億美";2;4;2
"議題";2;3;2
"因台";2;5;3
"引發";2;4;5
"引進";2;3;2
"引領";2;7;2
"印表機";2;3;2
"盈餘";2;3;5
"營業";2;3;2
"應材";2;3;2
"永續";2;3;2
"憂慮";2;3;2
"優你康";2;4;2
"優勢";2;7;10
"優質";2;3;5
"油價";2;4;4
"遊戲機";2;3;2
"有差";2;3;2
"有時";2;4;2
"有台";2;3;2
"預估";2;5;5
"預算";2;3;2
"預約";2;4;2
"元大";2;5;4
"元到";2;3;2
"元調";2;6;2
"元富";2;6;3
"元晶";2;3;2
"元晶能";2;3;2
"元領";2;3;2
"元息值";2;3;2
"元下";2;4;2
"元至";2;4;4
"原估";2;4;4
"原則";2;3;5
"原子";2;4;2
"圓滿";2;3;2
"月台";2;7;7
"災後";2;3;2
"再次出現";2;3;2
"再破";2;4;2
"再現";2;5;2
"再小買";2;4;2
"再戰";2;6;2
"在後段";2;3;2
"在內";2;8;5
"在現";2;4;2
"早盤";2;4;8
"造景";2;3;2
"則將";2;6;2
"則經";2;3;2
"則開";2;3;2
"則是";2;5;6
"則以";2;4;2
"則在";2;4;4
"則漲";2;3;2
"責任";2;4;3
"增訂";2;3;2
"增加";2;3;2
"增強";2;6;3
"增為";2;4;2
"增溫";2;3;6
"債券";2;3;3
"展現";2;4;5
"嶄新";2;4;2
"佔營";2;4;2
"站上";2;3;4
"彰顯";2;3;2
"漲停";2;3;2
"爭奪戰";2;4;2
"整合型";2;3;2
"整理";2;3;2
"整體而言";2;3;4
"之賜";2;4;2
"之務";2;3;2
"之蟻";2;3;2
"支出";2;4;6
"支付";2;4;2
"值股";2;4;8
"值前";2;3;2
"值為";2;3;2
"執行";2;8;2
"指創";2;4;2
"指將";2;3;2
"至於";2;3;3
"治國";2;3;2
"治理";2;5;5
"智慧";2;6;3
"智晶";2;5;2
"製造";2;4;2
"中產階級";2;4;2
"中長期";2;3;2
"中東";2;4;2
"中國政府";2;3;2
"中華電信";2;6;4
"中箭落馬";2;5;2
"中磊";2;4;2
"中磊成";2;4;2
"中瑞信";2;3;2
"中實";2;3;2
"中油";2;3;2
"中則";2;4;2
"重挫";2;14;7
"重建";2;3;2
"周報";2;4;2
"周線";2;7;9
"周也將";2;4;2
"主辦";2;7;7
"主導";2;6;4
"主管機關";2;3;2
"主機板";2;4;2
"主計";2;4;5
"主計處";2;3;3
"主題";2;7;7
"資本";2;5;6
"資訊";2;3;2
"紫光";2;3;3
"自動化";2;4;2
"走低";2;4;3
"走跌";2;3;2
"最大";2;10;2
"最高";2;3;2
"最佳";2;4;2
"昨在";2;3;2
"左右台";2;5;2
"作為";2;3;7
"作業系統";2;4;2
"座談會";2;4;2
"做價";2;3;2
"做空";2;3;5
"做夢";2;4;2
"做帳";2;3;2
"0.1";2;2;4
"0.19";2;2;4
"0.36";2;2;3
"0.44";2;2;4
"0.52";2;2;4
"0.94";2;2;4
"0050";2;2;3
"00636";2;2;3
"019";2;2;3
"020";2;2;6
"032.44";2;2;3
"063";2;2;3
"080";2;2;3
"083346";2;2;4
"086219";2;2;4
"089";2;2;4
"1.01";2;2;3
"1.06";2;2;3
"1.12";2;2;3
"1.16";2;2;4
"1.20";2;2;4
"1.24";2;2;3
"1.26";2;2;4
"1.28";2;2;4
"1.38";2;2;5
"1.55";2;2;4
"1.6";2;2;5
"1.86";2;2;4
"1.88";2;2;3
"1.89";2;2;4
"10.18";2;2;4
"10.48";2;2;3
"1000";2;2;3
"1005.52";2;2;4
"101";2;2;3
"101.90";2;2;3
"1011";2;2;4
"103";2;2;4
"1038.27";2;2;3
"104.18";2;2;4
"105";2;2;3
"106";2;2;4
"1077.46";2;2;3
"11.3";2;2;3
"11.8";2;2;3
"1101";2;2;4
"1139";2;2;4
"1147";2;2;3
"115";2;2;4
"116";2;2;4
"116.81";2;2;4
"118";2;2;3
"1195";2;2;3
"12.4";2;2;4
"12.8";2;2;4
"125";2;2;3
"128";2;2;3
"128.34";2;2;4
"13.2";2;2;3
"13.9";2;2;4
"1300";2;2;4
"131";2;2;3
"1312";2;2;3
"1314";2;2;4
"1322";2;2;3
"1325";2;2;3
"1327";2;2;3
"133.5";2;2;3
"134";2;2;3
"136";2;2;3
"136.92";2;2;4
"137";2;2;4
"139.5";2;2;5
"14.5";2;2;4
"14.79";2;2;4
"141";2;2;4
"142";2;2;4
"143";2;2;3
"143.5";2;2;4
"148";2;2;12
"149";2;2;8
"15-20";2;2;4
"15.27";2;2;4
"15.4";2;2;5
"15.5";2;2;6
"15000";2;2;4
"151";2;2;4
"154";2;2;5
"154.5";2;2;6
"156";2;2;3
"1600";2;2;5
"163";2;2;6
"166";2;2;5
"167";2;2;3
"168";2;2;3
"17.73";2;2;3
"176";2;2;3
"176.56";2;2;3
"180";2;2;12
"18288.63";2;2;4
"185";2;2;3
"186";2;2;5
"189";2;2;3
"191";2;2;8
"192";2;2;3
"194.63";2;2;3
"2.058";2;2;3
"2.08";2;2;3
"2.1";2;2;4
"2.41";2;2;3
"2.44";2;2;3
"2.45";2;2;4
"2.53";2;2;3
"2.6";2;2;6
"2.76";2;2;3
"2.87";2;2;3
"2.97";2;2;4
"20.87";2;2;4
"2001";2;2;4
"2002";2;2;3
"2006";2;2;3
"2011";2;2;3
"2012";2;2;5
"2018";2;2;5
"202";2;2;3
"2020";2;2;3
"21.8";2;2;3
"22.4";2;2;3
"22.89";2;2;4
"224";2;2;4
"225";2;2;4
"23.03";2;2;4
"23.47";2;2;4
"230";2;2;3
"2300";2;2;4
"232";2;2;3
"2356";2;2;4
"237";2;2;4
"2382";2;2;3
"24.99";2;2;4
"2400";2;2;4
"2404";2;2;3
"2450";2;2;3
"25.20";2;2;4
"25.3";2;2;4
"258";2;2;3
"26.55";2;2;3
"2603";2;2;4
"261";2;2;3
"2639";2;2;4
"265.3";2;2;3
"2700";2;2;4
"276";2;2;3
"277";2;2;3
"278";2;2;4
"28.1";2;2;6
"2867";2;2;3
"2883";2;2;4
